Name,Data Url,CL- 0 Deg Alpha,CD- 0 Deg Alpha,CL/CD- 0 Deg Alpha,CL- 3 Deg Alpha,CD- 3 Deg Alpha,CL/CD- 3 Deg Alpha,CL- 5 Deg Alpha,CD- 5 Deg Alpha,CL/CD- 5 Deg Alpha,CL- 7.5 Deg Alpha,CD- 7.5 Deg Alpha,CL/CD- 7.5 Deg Alpha,CL- 10 Deg Alpha,CD- 10 Deg Alpha,CL/CD- 10 Deg Alpha
"Airfoil,2032c-il",http://airfoiltools.com/polar/csv?polar=xf-2032c-il-200000,0.6454,0.01479,43.637592968221774,0.9675,0.01371,70.56892778993436,1.1801,0.01654,71.34824667472793,1.4266,0.01899,75.12374934175882,1.5248,0.03397,44.88666470415072
"Airfoil,a18-il",http://airfoiltools.com/polar/csv?polar=xf-a18-il-200000,0.5885,0.00967,60.85832471561531,0.9123,0.01059,86.14730878186968,1.0792,0.01633,66.08695652173913,1.2666,0.03312,38.242753623188406,1.5248,0.03397,44.88666470415072
"Airfoil,a18sm-il",http://airfoiltools.com/polar/csv?polar=xf-a18sm-il-200000,0.4666,0.01052,44.35361216730038,0.8235,0.00992,83.01411290322581,1.0218,0.01199,85.2210175145955,1.1902,0.02588,45.98918083462132,1.3524,0.05214,25.937859608745686
"Airfoil,a63a108c-il",http://airfoiltools.com/polar/csv?polar=xf-a63a108c-il-200000,-0.0029,0.00833,-0.3481392557022809,0.3430,0.00938,36.56716417910448,0.5599,0.01512,37.03042328042328,0.8243,0.02521,32.69734232447442,1.3524,0.05214,25.937859608745686
"Airfoil,ag03-il",http://airfoiltools.com/polar/csv?polar=xf-ag03-il-200000,0.2061,0.00772,26.696891191709845,0.5344,0.00916,58.34061135371179,0.7374,0.01227,60.09779951100245,0.9774,0.02025,48.266666666666666,1.1461,0.04177,27.438352884845578
"Airfoil,ag04-il",http://airfoiltools.com/polar/csv?polar=xf-ag04-il-200000,0.1744,0.00755,23.09933774834437,0.5181,0.00915,56.622950819672134,0.7241,0.01236,58.58414239482201,0.9630,0.02218,43.41749323715059,1.0790,0.05484,19.675419401896427
"Airfoil,ag08-il",http://airfoiltools.com/polar/csv?polar=xf-ag08-il-200000,0.1423,0.00752,18.922872340425535,0.5228,0.00910,57.45054945054945,0.7283,0.01252,58.17092651757188,0.9634,0.02493,38.64420377055756,1.0790,0.05484,19.675419401896427
"Airfoil,ag09-il",http://airfoiltools.com/polar/csv?polar=xf-ag09-il-200000,0.1465,0.00709,20.662905500705218,0.5062,0.00914,55.38293216630196,0.7151,0.01269,56.35145784081954,0.9561,0.02652,36.05203619909502,1.0790,0.05484,19.675419401896427
"Airfoil,ag10-il",http://airfoiltools.com/polar/csv?polar=xf-ag10-il-200000,0.1382,0.00704,19.630681818181817,0.4875,0.00982,49.64358452138492,0.7014,0.01334,52.57871064467766,0.9499,0.02657,35.75084681972149,1.0790,0.05484,19.675419401896427
"Airfoil,ag11-il",http://airfoiltools.com/polar/csv?polar=xf-ag11-il-200000,0.2221,0.00769,28.881664499349803,0.5516,0.00942,58.55626326963907,0.7578,0.01279,59.249413604378425,1.0043,0.02051,48.9663578742077,1.2119,0.03742,32.386424371993584
"Airfoil,ag12-il",http://airfoiltools.com/polar/csv?polar=xf-ag12-il-200000,0.1878,0.00734,25.585831062670298,0.5483,0.00925,59.27567567567568,0.7564,0.01250,60.51199999999999,0.9960,0.02357,42.2571064913025,1.0480,0.06531,16.046547236257847
"Airfoil,ag13-il",http://airfoiltools.com/polar/csv?polar=xf-ag13-il-200000,0.1845,0.00734,25.136239782016347,0.5600,0.00918,61.00217864923747,0.7664,0.01267,60.489344909234404,1.0064,0.02362,42.607959356477565,1.0500,0.06687,15.702108568864963
"Airfoil,ag14-il",http://airfoiltools.com/polar/csv?polar=xf-ag14-il-200000,0.2269,0.00734,30.912806539509535,0.5686,0.00921,61.73724212812161,0.7750,0.01280,60.546875,1.0164,0.02336,43.51027397260274,1.0519,0.06881,15.287022235140244
"Airfoil,ag16-il",http://airfoiltools.com/polar/csv?polar=xf-ag16-il-200000,0.2360,0.00760,31.052631578947366,0.5630,0.00923,60.996749729144085,0.7707,0.01224,62.965686274509814,1.0051,0.02302,43.662033014769776,1.0869,0.06001,18.111981336443925
"Airfoil,ag17-il",http://airfoiltools.com/polar/csv?polar=xf-ag17-il-200000,0.2351,0.00758,31.015831134564646,0.5738,0.00910,63.05494505494505,0.7794,0.01247,62.502004811547714,1.0162,0.02293,44.31748800697776,1.0862,0.06182,17.570365577483017
"Airfoil,ag18-il",http://airfoiltools.com/polar/csv?polar=xf-ag18-il-200000,0.2314,0.00755,30.649006622516556,0.5843,0.00900,64.92222222222223,0.7881,0.01273,61.908876669285156,1.0272,0.02291,44.83631601920558,1.0857,0.06391,16.987951807228917
"Airfoil,ag19-il",http://airfoiltools.com/polar/csv?polar=xf-ag19-il-200000,0.2274,0.00751,30.279627163781623,0.5915,0.00895,66.08938547486034,0.7944,0.01293,61.438515081206496,1.0350,0.02292,45.15706806282722,1.1260,0.05885,19.133389974511466
"Airfoil,ag24-il",http://airfoiltools.com/polar/csv?polar=xf-ag24-il-200000,0.3031,0.00830,36.51807228915662,0.6201,0.00939,66.03833865814696,0.8284,0.01184,69.96621621621622,1.0636,0.01896,56.09704641350211,1.2233,0.04106,29.79298587433025
"Airfoil,ag25-il",http://airfoiltools.com/polar/csv?polar=xf-ag25-il-200000,0.3195,0.00813,39.29889298892989,0.6345,0.00927,68.44660194174756,0.8404,0.01199,70.09174311926606,1.0760,0.01956,55.010224948875255,1.2249,0.04424,27.6876130198915
"Airfoil,ag26-il",http://airfoiltools.com/polar/csv?polar=xf-ag26-il-200000,0.3243,0.00793,40.8953341740227,0.6382,0.00919,69.44504896626768,0.8421,0.01214,69.3657331136738,1.0792,0.01995,54.095238095238095,1.2326,0.04435,27.79255918827508
"Airfoil,ag27-il",http://airfoiltools.com/polar/csv?polar=xf-ag27-il-200000,0.3204,0.00786,40.76335877862595,0.6403,0.00910,70.36263736263736,0.8423,0.01245,67.6546184738956,1.0818,0.02031,53.26440177252585,1.2392,0.04469,27.72879838890132
"Airfoil,ag35-il",http://airfoiltools.com/polar/csv?polar=xf-ag35-il-200000,0.4319,0.00896,48.20312500000001,0.7485,0.01158,64.63730569948187,0.9482,0.01432,66.21508379888269,1.1540,0.02343,49.253094323516855,1.2705,0.04158,30.555555555555557
"Airfoil,ag36-il",http://airfoiltools.com/polar/csv?polar=xf-ag36-il-200000,0.4087,0.00867,47.13956170703575,0.7237,0.01129,64.10097431355182,0.9238,0.01418,65.14809590973202,1.1194,0.02610,42.888888888888886,1.2091,0.05135,23.546251217137293
"Airfoil,ag37-il",http://airfoiltools.com/polar/csv?polar=xf-ag37-il-200000,0.3900,0.00832,46.87500000000001,0.7029,0.01129,62.25863596102746,0.9059,0.01410,64.24822695035462,1.1164,0.02551,43.76323010584085,1.2307,0.05044,24.39928628072958
"Airfoil,ag38-il",http://airfoiltools.com/polar/csv?polar=xf-ag38-il-200000,0.3589,0.00824,43.55582524271844,0.6747,0.01081,62.41443108233117,0.8725,0.01501,58.127914723517655,1.0943,0.02787,39.26444205238608,1.1667,0.06070,19.22075782537068
"Airfoil,ag44ct02r-il",http://airfoiltools.com/polar/csv?polar=xf-ag44ct02r-il-200000,0.2222,0.00757,29.352708058124175,0.5329,0.00955,55.80104712041886,0.7395,0.01213,60.96455070074197,0.9877,0.01749,56.47226986849629,1.1695,0.03592,32.558463251670375
"Airfoil,ag455ct02r-il",http://airfoiltools.com/polar/csv?polar=xf-ag455ct02r-il-200000,0.1982,0.00721,27.489597780859913,0.5118,0.00951,53.81703470031547,0.7226,0.01214,59.522240527182866,0.9722,0.01912,50.847280334728026,1.1508,0.04148,27.743490838958532
"Airfoil,ag45c03-il",http://airfoiltools.com/polar/csv?polar=xf-ag45c03-il-200000,0.0994,0.00744,13.36021505376344,0.4215,0.00932,45.22532188841201,0.6381,0.01080,59.08333333333333,0.8997,0.01502,59.90013315579228,1.1230,0.02731,41.120468692786524
"Airfoil,ag45ct02r-il",http://airfoiltools.com/polar/csv?polar=xf-ag45ct02r-il-200000,0.2002,0.00746,26.83646112600536,0.5136,0.00955,53.78010471204188,0.7233,0.01196,60.47658862876254,0.9710,0.01839,52.80043501903208,1.1520,0.03917,29.410262956344138
"Airfoil,ag46c03-il",http://airfoiltools.com/polar/csv?polar=xf-ag46c03-il-200000,0.0397,0.00691,5.745296671490593,0.3962,0.00880,45.022727272727266,0.6080,0.01049,57.95996186844614,0.8632,0.01692,51.01654846335697,1.0789,0.03498,30.84333905088622
"Airfoil,ag46ct02r-il",http://airfoiltools.com/polar/csv?polar=xf-ag46ct02r-il-200000,0.1697,0.00710,23.901408450704224,0.4990,0.00932,53.54077253218884,0.7070,0.01238,57.10823909531502,0.9535,0.02069,46.08506524891252,1.0968,0.05034,21.787842669845052
"Airfoil,ag47c03-il",http://airfoiltools.com/polar/csv?polar=xf-ag47c03-il-200000,0.0136,0.00667,2.0389805097451275,0.3617,0.00838,43.16229116945107,0.5683,0.01126,50.47069271758438,0.8232,0.02111,38.99573661771672,0.9281,0.07065,13.136588818117481
"Airfoil,ag47ct02r-il",http://airfoiltools.com/polar/csv?polar=xf-ag47ct02r-il-200000,0.1074,0.00677,15.86410635155096,0.4605,0.00890,51.741573033707866,0.6642,0.01399,47.47676912080057,0.9083,0.02904,31.27754820936639,0.9281,0.07065,13.136588818117481
"Airfoil,ah21-7-il",http://airfoiltools.com/polar/csv?polar=xf-ah21-7-il-200000,0.1389,0.01417,9.802399435426958,0.6099,0.01071,56.94677871148459,0.8059,0.01287,62.61849261849262,0.9932,0.02256,44.02482269503546,1.1849,0.04019,29.482458322965915
"Airfoil,ah21-9-il",http://airfoiltools.com/polar/csv?polar=xf-ah21-9-il-200000,0.0491,0.01104,4.447463768115942,0.5704,0.00916,62.27074235807861,0.7391,0.01570,47.07643312101911,0.9604,0.03475,27.637410071942444,1.1849,0.04019,29.482458322965915
"Airfoil,ah63k127-il",http://airfoiltools.com/polar/csv?polar=xf-ah63k127-il-200000,0.3573,0.01985,18.0,0.7162,0.02097,34.15355269432523,0.8912,0.02075,42.94939759036144,1.1841,0.01424,83.15308988764045,1.1195,0.03246,34.488601355514476
"Airfoil,ah6407-il",http://airfoiltools.com/polar/csv?polar=xf-ah6407-il-200000,0.6522,0.01093,59.670631290027444,0.9657,0.01055,91.53554502369668,1.1599,0.01446,80.2143845089903,1.3922,0.01880,74.05319148936171,1.4741,0.03707,39.76530887510116
"Airfoil,ah7476-il",http://airfoiltools.com/polar/csv?polar=xf-ah7476-il-200000,0.7164,0.01852,38.68250539956804,1.1457,0.01111,103.12331233123312,1.3272,0.01415,93.79505300353357,1.4917,0.02297,64.94122768828908,1.5710,0.03946,39.81246832235175
"Airfoil,ah79100a-il",http://airfoiltools.com/polar/csv?polar=xf-ah79100a-il-200000,0.4731,0.01138,41.57293497363796,0.8034,0.01027,78.22784810126582,1.0082,0.01179,85.51314673452077,1.2066,0.01769,68.20802713397399,1.3048,0.03281,39.76836330387077
"Airfoil,ah79100b-il",http://airfoiltools.com/polar/csv?polar=xf-ah79100b-il-200000,0.8747,0.01277,68.49647611589664,1.1999,0.01357,88.42299189388356,1.4083,0.01448,97.25828729281768,1.6164,0.01704,94.85915492957747,1.5944,0.03389,47.046326349955734
"Airfoil,ah79100c-il",http://airfoiltools.com/polar/csv?polar=xf-ah79100c-il-200000,0.8747,0.01277,68.49647611589664,1.1534,0.01431,80.6009783368274,1.3744,0.01453,94.59050240880937,1.5333,0.01661,92.31186032510537,1.5424,0.02936,52.53405994550408
"Airfoil,ah79k132-il",http://airfoiltools.com/polar/csv?polar=xf-ah79k132-il-200000,0.5139,0.01993,25.785248369292525,0.7815,0.01910,40.91623036649215,0.9534,0.01660,57.433734939759034,1.1368,0.01437,79.10925539318023,1.1359,0.02509,45.27301713830211
"Airfoil,ah79k135-il",http://airfoiltools.com/polar/csv?polar=xf-ah79k135-il-200000,0.3746,0.02028,18.471400394477318,0.7617,0.01857,41.01777059773829,0.9264,0.01611,57.50465549348231,1.0667,0.01435,74.33449477351917,1.0077,0.03085,32.6645056726094
"Airfoil,ah79k143-il",http://airfoiltools.com/polar/csv?polar=xf-ah79k143-il-200000,0.4193,0.02389,17.55127668480536,0.7771,0.02209,35.178813942960616,0.9505,0.01929,49.27423535510627,1.1021,0.01593,69.18392969240428,0.9199,0.03023,30.430036387694344
"Airfoil,ah80129-il",http://airfoiltools.com/polar/csv?polar=xf-ah80129-il-200000,0.5307,0.01725,30.765217391304343,0.7534,0.01890,39.86243386243386,0.9299,0.01876,49.5682302771855,1.0739,0.01636,65.64180929095355,0.9969,0.03883,25.67344836466649
"Airfoil,ah80136-il",http://airfoiltools.com/polar/csv?polar=xf-ah80136-il-200000,0.2502,0.01757,14.240182128628344,0.5456,0.02061,26.472586123241143,0.7429,0.02071,35.87155963302752,1.0068,0.01974,51.003039513677805,1.2545,0.01970,63.68020304568528
"Airfoil,ah80140-il",http://airfoiltools.com/polar/csv?polar=xf-ah80140-il-200000,0.3974,0.01626,24.440344403444033,0.7013,0.01912,36.67887029288703,0.8832,0.02203,40.09078529278257,1.1372,0.02245,50.654788418708236,1.3885,0.02037,68.16396661757487
"Airfoil,ah81131-il",http://airfoiltools.com/polar/csv?polar=xf-ah81131-il-200000,0.4205,0.02318,18.140638481449525,0.6461,0.02469,26.16848926690968,0.8309,0.02076,40.02408477842003,1.0451,0.01599,65.35959974984364,0.9769,0.03156,30.953738910012675
"Airfoil,ah81k144-il",http://airfoiltools.com/polar/csv?polar=xf-ah81k144-il-200000,0.3681,0.02647,13.906309029089535,0.5384,0.03094,17.401422107304462,0.8309,0.02076,40.02408477842003,1.0390,0.02686,38.68205510052122,1.1653,0.02894,40.26606772633034
"Airfoil,ah81k144wfklappe-il",http://airfoiltools.com/polar/csv?polar=xf-ah81k144wfklappe-il-200000,0.1131,0.03633,3.1131296449215524,0.2940,0.03825,7.686274509803921,0.4342,0.04118,10.543953375424962,0.0834,0.08925,0.934453781512605,0.3125,0.09922,3.149566619633138
"Airfoil,ah82150a-il",http://airfoiltools.com/polar/csv?polar=xf-ah82150a-il-200000,0.2733,0.02079,13.145743145743145,0.6033,0.01980,30.469696969696965,0.8360,0.01876,44.562899786780385,1.0999,0.01517,72.50494396835862,1.0501,0.03292,31.89854191980559
"Airfoil,ah82150f-il",http://airfoiltools.com/polar/csv?polar=xf-ah82150f-il-200000,0.3776,0.03120,12.102564102564102,0.6359,0.03010,21.126245847176083,0.7530,0.02856,26.365546218487395,0.9840,0.01930,50.98445595854922,0.9228,0.03327,27.73669972948602
"Airfoil,ah83150q-il",http://airfoiltools.com/polar/csv?polar=xf-ah83150q-il-200000,0.4364,0.01983,22.007060010085727,0.7695,0.02035,37.813267813267814,0.9865,0.01957,50.408788962698004,1.1938,0.01703,70.09982384028186,1.3193,0.01928,68.42842323651452
"Airfoil,ah83159-il",http://airfoiltools.com/polar/csv?polar=xf-ah83159-il-200000,0.3537,0.02407,14.694640631491483,0.5853,0.02786,21.008614501076813,0.8539,0.02494,34.23817161186848,1.1743,0.02044,57.45107632093933,1.2325,0.02044,60.29843444227006
"Airfoil,ah85l120-il",http://airfoiltools.com/polar/csv?polar=xf-ah85l120-il-200000-n5,0.0000,0.01322,0.0,0.2988,0.01223,24.431725265739985,0.4258,0.01446,29.446749654218532,0.6110,0.02167,28.195662205814493,0.8153,0.04435,18.383314543404737
"Airfoil,ah88k130-il",http://airfoiltools.com/polar/csv?polar=xf-ah88k130-il-200000,0.3101,0.02231,13.899596593455849,0.6221,0.02352,26.44982993197279,0.8410,0.02249,37.394397510004445,1.1539,0.01506,76.62018592297476,1.0968,0.03701,29.63523372061605
"Airfoil,ah88k136-il",http://airfoiltools.com/polar/csv?polar=xf-ah88k136-il-200000,0.5057,0.02574,19.646464646464647,0.7404,0.02519,29.392616117506943,0.9292,0.02140,43.42056074766356,1.1157,0.01702,65.55229142185664,0.9624,0.03149,30.5620832010162
"Airfoil,ah93156-il",http://airfoiltools.com/polar/csv?polar=xf-ah93156-il-200000,0.5431,0.02236,24.288908765652952,0.8684,0.02088,41.59003831417625,1.0594,0.01852,57.20302375809935,1.2212,0.01703,71.70874926600118,1.2173,0.01988,61.23239436619719
"Airfoil,ah93157-il",http://airfoiltools.com/polar/csv?polar=xf-ah93157-il-200000,0.5701,0.01986,28.705941591137968,0.9082,0.01787,50.82260772243984,1.0765,0.01701,63.28630217519106,1.2446,0.01678,74.17163289630513,1.2266,0.01959,62.61357835630423
"Airfoil,ah93k130-il",http://airfoiltools.com/polar/csv?polar=xf-ah93k130-il-200000,0.4321,0.02415,17.892339544513455,0.6972,0.02341,29.78214438274242,0.8878,0.02094,42.397325692454636,1.1444,0.01513,75.6378056840714,1.1041,0.02684,41.13636363636364
"Airfoil,ah93k131-il",http://airfoiltools.com/polar/csv?polar=xf-ah93k131-il-200000,0.4335,0.02271,19.088507265521795,0.6901,0.02358,29.26632739609839,0.8893,0.02038,43.63591756624142,1.1439,0.01519,75.30612244897958,1.1377,0.02521,45.12891709639032
"Airfoil,ah93k132-il",http://airfoiltools.com/polar/csv?polar=xf-ah93k132-il-200000,0.4368,0.02509,17.409326424870468,0.6687,0.02539,26.337140606538007,0.8758,0.02146,40.810810810810814,1.1303,0.01540,73.3961038961039,1.1057,0.02560,43.19140624999999
"Airfoil,ah93w145-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w145-il-200000,0.3816,0.01410,27.06382978723404,0.7547,0.01628,46.357493857493864,0.9725,0.01867,52.08891269416176,1.2505,0.01935,64.62532299741602,1.4666,0.01877,78.13532232285563
"Airfoil,ah93w174-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w174-il-200000,0.3894,0.01718,22.665890570430733,0.6544,0.01954,33.490276356192425,0.9128,0.02205,41.39682539682539,1.1461,0.02627,43.62771221926151,1.4287,0.02434,58.69761709120789
"Airfoil,ah93w215-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w215-il-200000,0.2949,0.01867,15.795393679700053,0.5789,0.02000,28.944999999999997,0.7213,0.02064,34.946705426356594,1.1322,0.02131,53.12998592210231,1.2432,0.02232,55.6989247311828
"Airfoil,ah93w257-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w257-il-200000,0.2636,0.02900,9.089655172413792,0.5993,0.03101,19.326023863269914,0.8146,0.03291,24.752354907323,1.1069,0.03299,33.552591694452865,1.3733,0.03095,44.37156704361874
"Airfoil,ah93w300-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w300-il-200000,0.3362,0.02282,14.732690622261174,0.6822,0.02331,29.266409266409266,0.8950,0.02437,36.725482150184654,1.1181,0.02651,42.17653715579027,1.2540,0.03235,38.76352395672334
"Airfoil,ah93w480b-il",http://airfoiltools.com/polar/csv?polar=xf-ah93w480b-il-200000,-0.4987,0.05042,-9.890916303054343,0.0639,0.05770,1.1074523396880416,0.4487,0.06494,6.909454881429012,0.8668,0.07149,12.124772695481886,1.2480,0.07727,16.151158276174453
"Airfoil,ah94145-il",http://airfoiltools.com/polar/csv?polar=xf-ah94145-il-200000,0.5815,0.01867,31.146223888591326,0.9088,0.02361,38.49216433714528,1.0983,0.02811,39.07150480256137,1.3962,0.02423,57.62278167560875,1.6034,0.02235,71.74049217002238
"Airfoil,ah94156-il",http://airfoiltools.com/polar/csv?polar=xf-ah94156-il-200000,0.4508,0.02231,20.20618556701031,0.8487,0.02015,42.11910669975186,1.0206,0.01869,54.60674157303371,1.2092,0.01672,72.32057416267943,1.2142,0.01949,62.29861467419189
"Airfoil,ah94w301-il",http://airfoiltools.com/polar/csv?polar=xf-ah94w301-il-200000,0.2134,0.02568,8.309968847352025,0.5693,0.02648,21.499244712990937,0.8014,0.02781,28.81697231211794,1.0439,0.03112,33.54434447300772,1.3035,0.03334,39.09718056388722
"Airfoil,ah95160-il",http://airfoiltools.com/polar/csv?polar=xf-ah95160-il-200000,0.5423,0.02098,25.848427073403244,0.8571,0.02727,31.43014301430143,0.8962,0.04285,20.914819136522755,1.3168,0.02971,44.321777179400875,1.5773,0.02410,65.44813278008299
"Airfoil,ames01-il",http://airfoiltools.com/polar/csv?polar=xf-ames01-il-200000,0.1888,0.01088,17.352941176470587,0.4564,0.01212,37.65676567656765,0.6568,0.01494,43.96251673360107,0.9090,0.01887,48.17170111287758,1.1414,0.02168,52.647601476014756
"Airfoil,ames02-il",http://airfoiltools.com/polar/csv?polar=xf-ames02-il-200000,-0.0018,0.00833,-0.2160864345738295,0.3435,0.00939,36.5814696485623,0.5606,0.01504,37.273936170212764,0.8249,0.02499,33.00920368147259,1.1414,0.02168,52.647601476014756
"Airfoil,ames03-il",http://airfoiltools.com/polar/csv?polar=xf-ames03-il-200000,0.1786,0.01367,13.065106071689833,0.4111,0.01090,37.71559633027523,0.6329,0.01468,43.11307901907357,0.9054,0.01882,48.10839532412327,1.1407,0.02510,45.44621513944223
"Airfoil,amsoil1-il",http://airfoiltools.com/polar/csv?polar=xf-amsoil1-il-200000,0.2107,0.01270,16.590551181102363,0.5950,0.01119,53.172475424486144,0.7546,0.01398,53.977110157367676,0.9598,0.02227,43.09833857207005,1.1930,0.03271,36.47202690308774
"Airfoil,amsoil2-il",http://airfoiltools.com/polar/csv?polar=xf-amsoil2-il-200000,0.1165,0.01311,8.886346300533944,0.4945,0.01066,46.388367729831145,0.6380,0.01645,38.78419452887538,0.8852,0.02421,36.56340355225114,1.1001,0.03892,28.265673175745118
"Airfoil,apex16-il",http://airfoiltools.com/polar/csv?polar=xf-apex16-il-200000,0.2453,0.01539,15.938921377517868,0.6741,0.01261,53.45757335448057,0.9188,0.01182,77.7326565143824,1.0281,0.01549,66.3718528082634,1.0611,0.02929,36.22738135882553
"Airfoil,aquilasm-il",http://airfoiltools.com/polar/csv?polar=xf-aquilasm-il-200000,0.3932,0.01237,31.786580436540014,0.7307,0.01110,65.82882882882883,0.9283,0.01266,73.32543443917852,1.1637,0.01580,73.65189873417721,1.3526,0.02039,66.33643943109368
"Airfoil,arad10-il",http://airfoiltools.com/polar/csv?polar=xf-arad10-il-200000,0.4558,0.01201,37.951706910907575,0.7767,0.01182,65.71065989847715,0.9790,0.01578,62.040557667934095,1.2288,0.02120,57.96226415094339,1.4559,0.02800,51.99642857142857
"Airfoil,arad13-il",http://airfoiltools.com/polar/csv?polar=xf-arad13-il-200000,0.3539,0.01122,31.54188948306595,0.6934,0.01330,52.13533834586467,0.9122,0.01636,55.75794621026895,1.1751,0.02132,55.1172607879925,1.4154,0.02741,51.63808828894564
"Airfoil,arad20-il",http://airfoiltools.com/polar/csv?polar=xf-arad20-il-200000,0.3239,0.01748,18.529748283752863,0.6810,0.01808,37.665929203539825,0.9226,0.01995,46.24561403508772,1.2089,0.02355,51.333333333333336,1.4582,0.02883,50.57925771765522
"Airfoil,arad6-il",http://airfoiltools.com/polar/csv?polar=xf-arad6-il-200000,0.5933,0.01440,41.20138888888889,0.9402,0.01074,87.54189944134079,1.1263,0.01360,82.81617647058825,1.3316,0.02169,61.39234670355002,1.5017,0.03096,48.50452196382429
"Airfoil,as5045-il",http://airfoiltools.com/polar/csv?polar=xf-as5045-il-200000,0.2007,0.01918,10.464025026068821,0.5408,0.01794,30.14492753623188,0.7748,0.01516,51.10817941952507,1.0057,0.01845,54.509485094850945,1.1651,0.02711,42.97676134267798
"Airfoil,as5046-il",http://airfoiltools.com/polar/csv?polar=xf-as5046-il-200000,0.2083,0.01927,10.809548521017126,0.5454,0.01762,30.953461975028375,0.7733,0.01525,50.708196721311474,0.9932,0.01833,54.18439716312057,1.1532,0.02509,45.96253487445197
"Airfoil,as5048-il",http://airfoiltools.com/polar/csv?polar=xf-as5048-il-200000,0.2305,0.02055,11.21654501216545,0.5490,0.01920,28.593750000000004,0.7686,0.01702,45.15863689776733,0.9762,0.01687,57.8660343805572,1.0770,0.02416,44.57781456953642
"Airfoil,atr72sm-il",http://airfoiltools.com/polar/csv?polar=xf-atr72sm-il-200000,0.2277,0.01305,17.448275862068964,0.6917,0.01580,43.778481012658226,0.8565,0.01785,47.983193277310924,1.0570,0.02173,48.64242982052462,1.2531,0.02692,46.54903417533433
"Airfoil,august160-il",http://airfoiltools.com/polar/csv?polar=xf-august160-il-200000,0.5653,0.01623,34.8305606900801,0.8256,0.01972,41.86612576064908,0.9870,0.02325,42.45161290322581,1.1278,0.03199,35.25476711472335,1.2531,0.02692,46.54903417533433
