Airfoil,CL,CD,CLMax,Vlo,Lift,Drag,Average Resistance,WingArea,ThrustNeeded
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,35.56425468,16.40791562,0.37600414,1.147845828,34.5,11.95992099
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,35.3093105,16.40791562,0.37600414,1.147845828,35,11.80546278
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,35.05977161,16.40791562,0.37600414,1.147845828,35.5,11.65535549
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,34.81544967,16.40791562,0.37600414,1.147845828,36,11.50941786
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,34.57616539,16.40791562,0.37600414,1.147845828,36.5,11.36747852
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,34.34174801,16.40791562,0.37600414,1.147845828,37,11.22937537
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,34.11203474,16.40791562,0.37600414,1.147845828,37.5,11.09495498
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,33.88687033,16.40791562,0.37600414,1.147845828,38,10.96407196
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,33.66610661,16.40791562,0.37600414,1.147845828,38.5,10.83658851
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,33.44960207,16.40791562,0.37600414,1.147845828,39,10.71237386
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,33.2372215,16.40791562,0.37600414,1.147845828,39.5,10.59130388
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,33.02883561,16.40791562,0.37600414,1.147845828,40,10.47326066
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,32.82432073,16.40791562,0.37600414,1.147845828,40.5,10.35813208
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,32.62355848,16.40791562,0.37600414,1.147845828,41,10.24581151
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,32.42643547,16.40791562,0.37600414,1.147845828,41.5,10.13619747
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,32.23284308,16.40791562,0.37600414,1.147845828,42,10.02919328
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,32.04267716,16.40791562,0.37600414,1.147845828,42.5,9.924706843
2032c-il- 0 Deg Alpha,0.6454,0.01479,1.5265,31.8558378,16.40791562,0.37600414,1.147845828,43,9.82265032
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,35.82480215,24.59661972,0.348547448,0.956615054,34,11.92769132
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,35.56425468,24.59661972,0.348547448,0.956615054,34.5,11.76869022
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,35.3093105,24.59661972,0.348547448,0.956615054,35,11.614232
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,35.05977161,24.59661972,0.348547448,0.956615054,35.5,11.46412472
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,34.81544967,24.59661972,0.348547448,0.956615054,36,11.31818709
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,34.57616539,24.59661972,0.348547448,0.956615054,36.5,11.17624774
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,34.34174801,24.59661972,0.348547448,0.956615054,37,11.0381446
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,34.11203474,24.59661972,0.348547448,0.956615054,37.5,10.9037242
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,33.88687033,24.59661972,0.348547448,0.956615054,38,10.77284119
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,33.66610661,24.59661972,0.348547448,0.956615054,38.5,10.64535773
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,33.44960207,24.59661972,0.348547448,0.956615054,39,10.52114308
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,33.2372215,24.59661972,0.348547448,0.956615054,39.5,10.40007311
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,33.02883561,24.59661972,0.348547448,0.956615054,40,10.28202988
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,32.82432073,24.59661972,0.348547448,0.956615054,40.5,10.1669013
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,32.62355848,24.59661972,0.348547448,0.956615054,41,10.05458074
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,32.42643547,24.59661972,0.348547448,0.956615054,41.5,9.944966696
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,32.23284308,24.59661972,0.348547448,0.956615054,42,9.83796251
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,32.04267716,24.59661972,0.348547448,0.956615054,42.5,9.73347607
2032c-il- 3 Deg Alpha,0.9675,0.01371,1.5265,31.8558378,24.59661972,0.348547448,0.956615054,43,9.631419546
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,35.76967494,17.10877819,0.281124698,1.038949135,39,11.97628679
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,35.54256359,17.10877819,0.281124698,1.038949135,39.5,11.83783948
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,35.31972401,17.10877819,0.281124698,1.038949135,40,11.70285335
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,35.10102392,17.10877819,0.281124698,1.038949135,40.5,11.57120021
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,34.88633675,17.10877819,0.281124698,1.038949135,41,11.44275812
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,34.67554124,17.10877819,0.281124698,1.038949135,41.5,11.31741103
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,34.46852124,17.10877819,0.281124698,1.038949135,42,11.19504839
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,34.26516535,17.10877819,0.281124698,1.038949135,42.5,11.07556487
a18-il- 0 Deg Alpha,0.5885,0.00967,1.3349,34.06536677,17.10877819,0.281124698,1.038949135,43,10.95886003
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,36.00119629,26.52224017,0.307870792,0.877425988,38.5,11.95680699
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,35.76967494,26.52224017,0.307870792,0.877425988,39,11.81476364
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,35.54256359,26.52224017,0.307870792,0.877425988,39.5,11.67631633
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,35.31972401,26.52224017,0.307870792,0.877425988,40,11.5413302
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,35.10102392,26.52224017,0.307870792,0.877425988,40.5,11.40967706
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,34.88633675,26.52224017,0.307870792,0.877425988,41,11.28123498
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,34.67554124,26.52224017,0.307870792,0.877425988,41.5,11.15588788
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,34.46852124,26.52224017,0.307870792,0.877425988,42,11.03352524
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,34.26516535,26.52224017,0.307870792,0.877425988,42.5,10.91404172
a18-il- 3 Deg Alpha,0.9123,0.01059,1.3349,34.06536677,26.52224017,0.307870792,0.877425988,43,10.79733689
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,35.53749233,13.3893913,0.301878261,1.134090435,39,11.92989939
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,35.31185517,13.3893913,0.301878261,1.134090435,39.5,11.79324359
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,35.09046205,13.3893913,0.301878261,1.134090435,40,11.66000417
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,34.87318156,13.3893913,0.301878261,1.134090435,40.5,11.53005462
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,34.65988793,13.3893913,0.301878261,1.134090435,41,11.40327457
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,34.4504607,13.3893913,0.301878261,1.134090435,41.5,11.27954946
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,34.24478447,13.3893913,0.301878261,1.134090435,42,11.15877018
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,34.04274858,13.3893913,0.301878261,1.134090435,42.5,11.04083277
a18sm-il- 0 Deg Alpha,0.4666,0.01052,1.3524,33.8442469,13.3893913,0.301878261,1.134090435,43,10.9256381
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,36.00205443,23.63086957,0.28466087,0.912043478,38,11.99195267
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,35.76751086,23.63086957,0.28466087,0.912043478,38.5,11.84805775
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,35.53749233,23.63086957,0.28466087,0.912043478,39,11.70785244
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,35.31185517,23.63086957,0.28466087,0.912043478,39.5,11.57119663
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,35.09046205,23.63086957,0.28466087,0.912043478,40,11.43795721
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,34.87318156,23.63086957,0.28466087,0.912043478,40.5,11.30800766
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,34.65988793,23.63086957,0.28466087,0.912043478,41,11.18122761
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,34.4504607,23.63086957,0.28466087,0.912043478,41.5,11.0575025
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,34.24478447,23.63086957,0.28466087,0.912043478,42,10.93672323
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,34.04274858,23.63086957,0.28466087,0.912043478,42.5,10.81878582
a18sm-il- 3 Deg Alpha,0.8235,0.00992,1.3524,33.8442469,23.63086957,0.28466087,0.912043478,43,10.70359114
ag11-il- 0 Deg Alpha,0.2221,0.00769,1.257,35.52052527,6.857006205,0.237417279,1.200277155,42,11.98577985
ag11-il- 0 Deg Alpha,0.2221,0.00769,1.257,35.31096282,6.857006205,0.237417279,1.200277155,42.5,11.85889159
ag11-il- 0 Deg Alpha,0.2221,0.00769,1.257,35.10506624,6.857006205,0.237417279,1.200277155,43,11.73495421
ag11-il- 3 Deg Alpha,0.5516,0.00942,1.257,35.73386368,17.02982721,0.290828449,1.050231905,41.5,11.96568042
ag11-il- 3 Deg Alpha,0.5516,0.00942,1.257,35.52052527,17.02982721,0.290828449,1.050231905,42,11.8357346
ag11-il- 3 Deg Alpha,0.5516,0.00942,1.257,35.31096282,17.02982721,0.290828449,1.050231905,42.5,11.70884634
ag11-il- 3 Deg Alpha,0.5516,0.00942,1.257,35.10506624,17.02982721,0.290828449,1.050231905,43,11.58490896
ag24-il- 0 Deg Alpha,0.3031,0.0083,1.2297,35.49260282,9.565507685,0.26193901,1.170628856,43,11.93918139
ag24-il- 3 Deg Alpha,0.6201,0.00939,1.2297,35.70077237,19.56968431,0.296338229,1.004944543,42.5,11.90018593
ag24-il- 3 Deg Alpha,0.6201,0.00939,1.2297,35.49260282,19.56968431,0.296338229,1.004944543,43,11.77349708
ag25-il- 0 Deg Alpha,0.3195,0.00813,1.228,35.51716168,10.09703257,0.256929186,1.154988534,43,11.93844868
ag25-il- 3 Deg Alpha,0.6345,0.00927,1.228,35.72547527,20.05185342,0.292956156,0.991919088,42.5,11.90224347
ag25-il- 3 Deg Alpha,0.6345,0.00927,1.228,35.51716168,20.05185342,0.292956156,0.991919088,43,11.77537923
ag26-il- 0 Deg Alpha,0.3243,0.00793,1.2356,35.61543463,10.18568663,0.249067206,1.145353474,42.5,11.98857
ag26-il- 0 Deg Alpha,0.3243,0.00793,1.2356,35.40776269,10.18568663,0.249067206,1.145353474,43,11.86248609
ag26-il- 3 Deg Alpha,0.6382,0.00919,1.2356,35.82680405,20.04472774,0.288641567,0.987747012,42,11.96004945
ag26-il- 3 Deg Alpha,0.6382,0.00919,1.2356,35.61543463,20.04472774,0.288641567,0.987747012,42.5,11.83096354
ag26-il- 3 Deg Alpha,0.6382,0.00919,1.2356,35.40776269,20.04472774,0.288641567,0.987747012,43,11.70487963
ag27-il- 0 Deg Alpha,0.3204,0.00786,1.2398,35.55505727,10.02910405,0.246032328,1.145450247,42.5,11.95193382
ag27-il- 0 Deg Alpha,0.3204,0.00786,1.2398,35.34773738,10.02910405,0.246032328,1.145450247,43,11.82627704
